,BEZIRK,ELEM_NR,STRSCHL,STR_NAME,date,dist_left,dist_right,hour
0,Reinickendorf,40660023_40660027.02,1919,Heinsestraße,2018-09-27,139.83333333333334,72.0,9
1,Reinickendorf,40650033_40650028.02,1919,Heinsestraße,2018-10-31,54.400000000000006,73.0,11
2,Reinickendorf,40650033_40650028.02,1919,Heinsestraße,2018-10-31,50.833333333333336,73.0,11
3,Reinickendorf,40650028_40650004.02,1919,Heinsestraße,2018-10-10,85.66666666666667,75.0,9
4,Reinickendorf,40650028_40650004.02,1919,Heinsestraße,2018-10-10,87.33333333333333,62.0,9
5,Reinickendorf,40650028_40650004.02,1919,Heinsestraße,2018-10-31,151.5,51.0,11
6,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-09-26,141.2,218.66666666666666,11
7,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-09-30,165.83333333333334,143.0,12
8,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-09-30,165.375,71.0,12
9,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-10-04,92.9,139.0,8
10,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-10-05,219.125,102.0,13
11,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-10-05,165.33333333333334,178.0,16
12,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-10-09,114.8,195.0,16
13,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-10-09,125.9,105.0,16
14,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-10-09,147.7,78.0,16
15,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-10-15,181.0,292.0,9
16,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-10-22,175.0,94.0,8
17,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-10-22,150.5,79.0,8
18,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-11-01,174.5,75.0,8
19,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-11-01,176.83333333333334,75.0,8
20,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-11-01,174.1,81.33333333333333,8
21,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-11-05,176.6,124.0,8
22,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-11-05,130.4,68.0,8
23,Charlottenburg-Wilmersdorf,40530044_40530025.02,3977,Schlüterstraße,2018-11-08,158.0,63.0,9
24,Charlottenburg-Wilmersdorf,40530025_40530048.02,3977,Schlüterstraße,2018-09-18,57.3,133.0,15
